品名,最低价,平均价,最高价,产地,单位
小龙虾,21.0,21.5,22.0,未知,斤
母梭子蟹,170.0,175.0,180.0,未知,斤
珍宝蟹,130.0,135.0,140.0,未知,斤
帝王蟹,230.0,235.0,240.0,未知,斤
面包蟹,90.0,92.5,95.0,未知,斤
鲍鱼,11.0,11.5,12.0,未知,个
鲍鱼,8.0,8.5,9.0,未知,个
鲍鱼,5.0,5.5,6.0,未知,个
扇贝,55.0,57.5,60.0,未知,斤
扇贝,40.0,42.5,45.0,未知,斤
扇贝,38.0,39.0,40.0,未知,斤
小红扇贝,9.0,9.5,10.0,未知,斤
象拔蚌,70.0,72.5,75.0,未知,斤
花螺,28.0,46.5,65.0,未知,斤
钉螺,5.5,6.25,7.0,未知,斤
海螺,16.0,16.5,17.0,未知,斤
海螺,20.0,21.5,23.0,未知,斤
海螺,28.0,31.5,35.0,未知,斤
蛏子,16.0,17.0,18.0,未知,斤
带子,8.0,9.0,10.0,未知,斤
生蚝,8.0,8.5,9.0,未知,斤
生蚝,9.0,9.5,10.0,未知,斤
黄蚬子,18.0,19.0,20.0,未知,斤
文蛤,9.0,9.5,10.0,未知,斤
白蛤,5.0,6.5,8.0,未知,斤
青蛤,14.0,14.5,15.0,未知,斤
花蛤,4.5,4.75,5.0,未知,斤
毛钳,5.0,5.5,6.0,未知,斤
田螺,3.2,3.35,3.5,未知,斤
猫眼螺,20.0,22.5,25.0,未知,斤
甲鱼,37.0,38.5,40.0,未知,斤
甲鱼,23.0,26.5,30.0,未知,斤
蚕蛹,57.0,57.5,58.0,未知,斤
牛蛙,9.5,9.75,10.0,未知,斤
海蜇头,9.0,10.5,12.0,未知,斤
海蜇皮,12.0,13.5,15.0,未知,斤
海蜇丝,5.0,6.0,7.0,未知,斤
大白菜,0.6,0.65,0.7,冀,斤
娃娃菜,0.9,1.0,1.1,冀,斤
小白菜,1.0,1.25,1.5,冀鲁,斤
圆白菜,0.4,0.55,0.7,冀,斤
紫甘蓝,0.8,0.85,0.9,冀,斤
芹菜,0.7,0.8,0.9,京冀,斤
西芹,1.2,1.25,1.3,辽,斤
菠菜,3.0,3.25,3.5,冀,斤
莴笋,0.8,1.05,1.3,冀,斤
团生菜,0.8,1.0,1.2,冀,斤
罗马生菜,1.25,1.28,1.3,京,斤
散叶生菜,1.0,1.1,1.2,冀京,斤
油菜,0.8,0.9,1.0,京,斤
香菜,2.5,3.0,3.5,冀蒙,斤
茴香,1.3,1.4,1.5,冀,斤
韭菜,1.0,1.1,1.2,冀,斤
苦菊,1.3,1.35,1.4,辽冀,斤
油麦菜,1.5,1.6,1.7,京冀,斤
散菜花,1.5,1.9,2.3,冀,斤
绿菜花,1.3,1.55,1.8,津冀,斤
